code_prefix,country_id,country_code,country_title,region_title,current_rate,billing_term,last_updated,rate_status
"93","1","AFG","Afghanistan","","0.5337","30/6","2021-01-01","higher",
"937","1","AFG","Afghanistan","","0.508","30/6","2021-01-01","higher",
"9370","1","AFG","Afghanistan","","0.4265","30/6","2021-01-01","higher",
"9371","1","AFG","Afghanistan","","0.4824","30/6","2021-01-01","higher",
"9372","1","AFG","Afghanistan","","0.3878","30/6","2021-01-01","higher",
"9373","1","AFG","Afghanistan","","0.418","30/6","2021-01-01","higher",
"9374","1","AFG","Afghanistan","","0.4103","30/6","2021-01-01","lower",
"9375","1","AFG","Afghanistan","","0.4255","30/6","2021-01-01","lower",
"9376","1","AFG","Afghanistan","","0.3306","30/6","2021-01-01","lower",
"9377","1","AFG","Afghanistan","","0.3306","30/6","2021-01-01","lower",
"9378","1","AFG","Afghanistan","","0.3652","30/6","2021-01-01","higher",
"9379","1","AFG","Afghanistan","","0.3878","30/6","2021-01-01","higher",
"355","2","ALB","Albania","","0.3795","30/6","2021-01-01","higher",
"35566","2","ALB","Albania","","0.8572","30/6","2021-01-01","higher",
"35567","2","ALB","Albania","","0.9603","30/6","2021-01-01","higher",
"35568","2","ALB","Albania","","0.9189","30/6","2021-01-01","higher",
"35569","2","ALB","Albania","","0.9094","30/6","2021-01-01","higher",
"3552155","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3552185","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3552253","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3552254","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3552440","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3553270","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3553350","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3553351","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3553490","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3553491","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3553560","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3554249","2","ALB","Albania","","0.3912","30/6","2021-01-01","higher",
"3554630","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3554631","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3554632","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3554633","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3555114","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3555263","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3555264","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3555370","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3555490","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3555491","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3555540","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3558290","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3558291","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3558340","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3558460","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"3558550","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521160","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521161","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521250","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521340","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521440","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521650","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521651","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521740","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521741","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35521940","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526160","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526250","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526293","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526323","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526350","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526363","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526373","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526383","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526450","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526490","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526523","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526563","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526650","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526673","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526723","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526770","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526840","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526890","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526950","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526970","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35526990","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
