Destination,Country,Prefix,Rate
Afghanistan,AFG,93,0.6404
Afghanistan,AFG,937,0.6096
Afghanistan,AFG,9370,0.5118
Afghanistan,AFG,9371,0.5789
Afghanistan,AFG,9372,0.4654
Afghanistan,AFG,9373,0.5016
Afghanistan,AFG,9374,0.4924
Afghanistan,AFG,9375,0.5106
Afghanistan,AFG,9376,0.3967
Afghanistan,AFG,9377,0.3967
Afghanistan,AFG,9378,0.4382
Afghanistan,AFG,9379,0.4654
Albania,ALB,355,0.4554
Albania,ALB,35566,1.0286
Albania,ALB,35567,1.1524
Albania,ALB,35568,1.1027
Albania,ALB,35569,1.0913
Albania,ALB,3552155,0.4231
Albania,ALB,3552185,0.4231
Albania,ALB,3552253,0.4231
Albania,ALB,3552254,0.4231
Albania,ALB,3552440,0.4231
Albania,ALB,3553270,0.4231
Albania,ALB,3553350,0.4231
Albania,ALB,3553351,0.4231
Albania,ALB,3553490,0.4231
Albania,ALB,3553491,0.4231
Albania,ALB,3553560,0.4231
Albania,ALB,3554249,0.4694
Albania,ALB,3554630,0.4231
Albania,ALB,3554631,0.4231
Albania,ALB,3554632,0.4231
Albania,ALB,3554633,0.4231
Albania,ALB,3555114,0.4231
Albania,ALB,3555263,0.4231
Albania,ALB,3555264,0.4231
Albania,ALB,3555370,0.4231
Albania,ALB,3555490,0.4231
Albania,ALB,3555491,0.4231
Albania,ALB,3555540,0.4231
Albania,ALB,3558290,0.4231
Albania,ALB,3558291,0.4231
Albania,ALB,3558340,0.4231
Albania,ALB,3558460,0.4231
Albania,ALB,3558550,0.4231
Albania,ALB,35521160,0.4231
Albania,ALB,35521161,0.4231
Albania,ALB,35521250,0.4231
Albania,ALB,35521340,0.4231
Albania,ALB,35521440,0.4231
Albania,ALB,35521650,0.4231
Albania,ALB,35521651,0.4231
Albania,ALB,35521740,0.4231
Albania,ALB,35521741,0.4231
Albania,ALB,35521940,0.4231
Albania,ALB,35526160,0.4231
Albania,ALB,35526250,0.4231
Albania,ALB,35526293,0.4231
Albania,ALB,35526323,0.4231
Albania,ALB,35526350,0.4231
Albania,ALB,35526363,0.4231
Albania,ALB,35526373,0.4231
Albania,ALB,35526383,0.4231
Albania,ALB,35526450,0.4231
Albania,ALB,35526490,0.4231
Albania,ALB,35526523,0.4231
Albania,ALB,35526563,0.4231
Albania,ALB,35526650,0.4231
Albania,ALB,35526673,0.4231
Albania,ALB,35526723,0.4231
Albania,ALB,35526770,0.4231
Albania,ALB,35526840,0.4231
Albania,ALB,35526890,0.4231
Albania,ALB,35526950,0.4231
Albania,ALB,35526970,0.4231
Albania,ALB,35526990,0.4231
Albania,ALB,35527023,0.4231
Albania,ALB,35527043,0.4231
Albania,ALB,35527053,0.4231
Albania,ALB,35527070,0.4231
Albania,ALB,35527140,0.4231
Albania,ALB,35527190,0.4231
Albania,ALB,35527223,0.4231
Albania,ALB,35527253,0.4231
Albania,ALB,35527270,0.4231
Albania,ALB,35527280,0.4231
Albania,ALB,35527323,0.4231
Albania,ALB,35527350,0.4231
Albania,ALB,35527370,0.4231
Albania,ALB,35527390,0.4231
Albania,ALB,35527440,0.4231
Albania,ALB,35527470,0.4231
Albania,ALB,35527490,0.4231
Albania,ALB,35527523,0.4231
Albania,ALB,35527550,0.4231
Albania,ALB,35527570,0.4231
Albania,ALB,35527590,0.4231
Albania,ALB,35527623,0.4231
Albania,ALB,35527660,0.4231
Albania,ALB,35527693,0.4231
Albania,ALB,35527723,0.4231
Albania,ALB,35527760,0.4231
